Stage Group,Sub Stage Level 0,Sub Stage Level 1,Sub Stage Level 2,Sub Stage Level 3,Sub Stage Level 4,Name,Patient Facing Label,Patient Facing Questions,Description,Before Stage (can be multipl,After Stage,Transition notes from this stage to next stage,Patient Facing (Y/N)?
0,,,,,,Pre-diagnosis,Primary Tests and results pending,,"- Patient goes for tests, and mammogram, Ultrasound, US and biopsy. It can be either of the following- Mammogram + Biopsy, or US + biopsy or MMG+US_Biopsy",<start>,,,
1,1,,,,,Results Clinic,I've just been Diagnosed,"Have you been told what treatments? 
If yes, are you having chemotherapy, hormone tablets or surgery? DO NO PRESENT but identify from OTHER- other option here are palliative and in rare cases radiotherapy",Patient is given diagnosis for the first time. This is a very sensitive step as the patient is hearing the news for the first time,prediagnosis,"1.1, 1.2, 2, 3, 4, 1.3",metastasis - curative treatment not possible,
,,1.1,,,,palliative,Living with secondary breast cancer,,Metastasis has happened and hence curative treatment is not possible.,1,<End of Pathways>,,
,,1.2,,,,primary endocrine,My first treatment is Hormone Tablets,,"endocrine (anti hormone medication) as first line treatment. 
There are multiple reasons for choosing this treatment path, the most common one being patient may not be fit for surgery.
",1,1.2.1,Hormone therapy is effective on the patient,
,,,1.2.1,,,Follow-up Clinic,Hormone treatment review,,follow up to see if hormone treatment is working with a Specialist Clinician (this is not same as results clinic),1.2,"1.2.1.1, 1.2.1.2",treatment is working,
,,,,1.2.1.1,,Continue same endocrine treatment,Ongoing hormone tablets,,"If, on follow up, cancer is reducing in size, then you are okay to continue on same medication.",1.2.1,1.2.1,Return for periodic review,
,,,,1.2.1.2,,"Change to another medication
",Change in hormone medication,,"If, on follow up, cancer is getting bigger, then doctors will put you on another anti hormone medication, or discuss surgery with you (see stage 2)",1.2.1,"1.2.1.1, 2",Treatment is not working,
,,1.3,,,,Further investigation,I'm waiting for further tests,,"Following review of previous work up in the MDM, patient is reviewed in results clinic  to discuss next step, which could be either to start treatment or for further investigation,",1,1,,
2,2,,,,,Surgery,Having Surgery,Have you been described what type of surgery - Breast Surgery or Armpit or Both?,Master Stage for various surgery types. The patient may go through some of the surgeries in the steps 2.1 or 2.2 etc. and end up in a post surgery MDM where the next steps are defined.,"1, 3, 4, 1.2, 1.2.1","6, 7, 8, 9, 10",occurrence of surgery,
,,2.1,,,,Breast surgery,Surgery on breast,,"Operations on the breast to remove cancer and, when possible, preserve appearance and function.",2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,2.1.1,,,Breast Conservation Surgery,Lumpectomy,"Is your surgery to remove the tumor only and not the whole breast? or - 
Option 1. Remove the tumor (Lumpectomy)
Option 2: Remove tumor (Lumpectomy) and remove and reduce the breast (Therapeutic mammaplasty)
Option 3: Remove the tumor (Lumpectomy) and fill the defect with skin and fat from chest wall (Chest wall perforator flap)","Operations which remove the cancer while keeping most of the breast, almost always followed by radiotherapy.",2.1,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,2.1.1.1,,Wide local excision,Wide local excision,,"Operation to remove the cancer with a margin of healthy tissue, keeping the rest of the breast, when the cancer to breast size ratio allows (for example, small cancer in large breast).",2.1.1,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,2.1.1.2,,Oncoplastic Breast Conservation Surgery,Oncoplastic breast-conserving surgery,,Operations which combine cancer removal with plastic surgery techniques to improve breast shape.,2.1.1,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,,2.1.1.2.1,Therapeutic mammaplasty/mammoplasty,Therapeutic mammaplasty,,"Operation which combines cancer removal with breast-reduction techniques, allowing removal of bigger cancer from big/droopy breast. This may or may not be combined with reduction of the other breast to symmetrize.",2.1.1.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,,2.1.1.2.2,Chest wall perforator flap,Chest wall perforator flap surgery,,"Operation which combines cancer removal and use of nearby skin and fat to fill the defect after cancer removal, allowing removal of bigger cancer from small breast.",2.1.1.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,2.1.2,,,Mastectomy,Mastectomy (Whole breast Removal),"Is your surgery to remove whole breast? or - 
Option 1. Remove the breast (Mastectomy)
Option 2: Remove breast (Mastectomy) and reconstruction with implant
Option 3: Remove breast (Mastectomy) and reconstruction with own tissue (autologous)","Operations which remove all the breast tissue, including the cancer.",2.1,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,2.1.2.1,,Simple mastectomy no reconstruction,Mastectomy without reconstruction,,"Operation which removes all the breast tissue, including the cancer, without rebuilding (going flat chest, with scar).",2.1.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,2.1.2.2,,Mastectomy and reconstruction,Mastectomy with reconstruction,,"Operation which removes all the breast tissue, including the cancer, and rebuilds the breast mound.",2.1.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,,2.1.2.2.1,Autologous reconstruction,Reconstruction using own tissue,,Breast rebuilt using your own tissue from another body area.,2.1.2.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,,,2.1.2.2.2,Implant based reconstruction,Implant-based reconstruction,,Breast rebuilt using a silicone or saline implant.,2.1.2.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,2.2,,,,Axillary surgery,Surgery on armpit,"Is your surgery on armpit? or - 
Option 1: Only a few lymph glands being removed (sentinel lymph node biopsy)
Option 2: All lymph glands being removed (Axillary lymph node clearance)","Surgery to assess or treat lymph nodes under the arm, helping guide breast cancer treatment decisions.",2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,2.2.2,,,Sentinel lymph node biopsy,Sentinel lymph node biopsy,,Operation in which only the first 1-3 draining lymph nodes are removed to check for cancer spread.,2.2,"6, 7, 8, 9, 10",occurrence of surgery,
,,,2.2.3,,,Axillary Lymph node clearance,Axillary Lymph node clearance,,"Operation in which ""all"" underarm lymph nodes are removed to treat known cancer spread, and assess cancer burden to plan further treatments. This is done when there is confirmed cancer spread in the lymph nodes.",2.2,"6, 7, 8, 9, 10",occurrence of surgery,
3,3,,,,,"Neoadjuvant 
Chemotherapy",Chemotherapy before surgery,"Options 
1) Chemotherapy only
2) Chemotherapy with immunotherapy
3) Chemotherapy with targeted therapy (Herceptin and/or Pertuzumab)",Treatment given before surgery to shrink the cancer and improve surgical and long-term outcomes.,1,2,completion of chemotherapy,
,,3.1,,,,Neoadjuvant chemotherapy,Chemotherapy before surgery only,,Anti-cancer drugs given before surgery to kill cancer cells,1,2,completion of chemotherapy,
,,3.2,,,,Neoadjuvant chemotherapy with immunotherapy,Chemotherapy before surgery with immunotherapy,,"Chemotherapy combined with immune-boosting treatment, before surgery, to help your body attack cancer cells, usually used in specific breast cancer type (called triple negative cancer).",1,2,completion of chemotherapy,
,,3.3,,,,Neoadjuvant chemotherapy with targeted therapy,Chemotherapy before surgery with targeted therapy,,"Chemotherapy combined with drugs targeting specific cancer features or pathways, before surgery, improving response to chemotherapy and reducing recurrence risk, usually used in specific breast cancer type (e.g. blocking growth factor receptors in HER2 +ve cancer)",1,2,completion of chemotherapy,
4,4,,,,,Neoadjuvant endocrine treatment,Hormone therapy before surgery,,"Hormone-blocking treatment, given before surgery, to slow growth of cancer if you are temporarily unfit for surgery, or to shrink the cancer if you are unfit for traditional chemotherapy. This can only be used in hormone-sensitive breast cancer.",1,2,completion of hormone therapy,
5,5,,,,,Survivorship,Finished active treatment,,"Patient has completed active treatment (surgery, chemotherapy, radiotherapy) and is now in the survivorship phase. Regular follow-up appointments will continue to monitor for recurrence.","7, 8, 9, 10",<End of Pathways>,Transition to long-term follow-up,
,,5.1,,,,No medication,No Medication after Active Treatment,,Patient has completed all treatment and does not require ongoing medication. Regular monitoring and follow-up appointments continue.,5,<End of Pathways>,Long-term surveillance,
,,5.2,,,,Endocrine treatment and/or Zometa,Ongoing Hormone Therapy after Active Treatment,,Patient continues on endocrine therapy (hormone tablets) and/or zoledronic acid (Zometa) as part of long-term treatment to reduce recurrence risk.,5,<End of Pathways>,Ongoing maintenance therapy,
6,6,,,,,Further surgery,Further Surgery after Surgery,Do you need further surgery after your first surgery?,"After pathology review of the first surgery, further surgery may be needed if there is suspicion of residual cancer in the breast or in the lymph nodes.",2,"7, 8, 9, 10",completion of surgery,
,,6.1,,,,Axilla lymph node clearance,Further Surgery to remove all Lymph Nodes,Do you need further surgery to remove all lymph nodes (Axillary lymph nodes clearance),"Operation in which ""all"" underarm lymph nodes are removed to treat known cancer spread, and assess cancer burden to plan further treatments. This is done when there is confirmed cancer spread in the lymph nodes.",6,"7, 8, 9, 10",completion of surgery,
,,6.2,,,,Breast margin excision,Further Surgery to remove more Breast Tissue,Do you need further surgery to remove more breast tissue?,Operation in which breast tissue (suspected to contain residual cancer) is removed.,6,"6.3, 7, 8, 9, 10",completion of surgery,
,,6.3,,,,Completion mastectomy,Further Surgery to remove all Breast tissue,,"Operation in which all breast tissue is removed, as it is suspected to contain residual cancer.","6, 6.2","7, 8, 9, 10",completion of surgery,
7,7,,,,,Adjuvant radiotherapy,Radiotherapy,,"Treatment with radiation to the breast (after breast conservation surgery), or to chest wall (after mastectomy, advanced cancer), or to other nodal areas (like supraclavicular or internal mammary areas)",2,"5, 9, 2010",completion of radiotherapy,
8,8,,,,,Adjuvant chemotherapy,Chemotherapy after surgery,,"Systemic administration of medications to kill cancer cells. Chemotherapy may be combined with immunotherapy (for triple negative cancer), or targeted therapy (in HER2 positive cancer), or with zoledronic acid (for women with high risk breast cancer, to reduce risk of bone recurrence).",2,"7, 9, 10, 5",completion of chemotherapy,
9,9,,,,,Adjuvant endocrine therapy,Hormone therapy after Surgery,"Option 1: Hormone Therapy only
Option 2: Hormone Therapy and Zoledronic Acid
",Endocrine therapy is indicated in patients with estrogen receptor positive breast cancer. This is typically the last leg of treatment.,2,5,completion of all treatment,
,,9.1,,,,Adjuvant endocrine therapy only,Hormone therapy after Surgery only,,Endocrine therapy is indicated in patients with estrogen receptor positive breast cancer.,9,5,completion of all treatment,
,,9.2,,,,Adjuvant endocrine therapy and Zoledronic acid,Hormone therapy after Surgery and Zoledronic acid (Zometa) treatment,,"In postmenopausal women, zoledronic acid is indicated in combination with endocrine therapy to improve survival by inhibiting bone breakdown.",9,5,completion of all treatment,
10,,,,,,Adjuvant Zoledronic acid (Zometa),Zoledronic acid (Zometa) therapy after Surgery,,"In postmenopausal women, zoledronic acid is indicated to improve survival by inhibiting bone breakdown. Often given in combination with endocrine therapy.",2,5,completion of treatment,
