Query Categories,Resouces ( Name of leaflets and URL),Resources URL (actual link to leaflets),Videos,"Answer Type UK (Citations only, Summariztion, Resources+Web)","Answer Type India (Citations only, Summariztion, Resources+Web)",Do's ,Don'ts,KBs (UK) (DO NOT FILL),KBs (India)(DO NOT FILL)
SYMPTOMS,"bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf, bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf, bcc161-understanding-your-results-web.pdf, bcc169-after-breast-cancer-what-now-2025-web.pdf, bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf, bcc197-moving-forward-web-pdf.pdf, bcc23-inflammatory-breast-cancer-web-2025-new-address.pdf, bcn402_changes_to_be_aware_of_after_breast_cancer.pdf, bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf, MAC12515_Physical+activity_E06_IntPDF_02.pdf,  MAC14215+Worrying+about+cancer+coming+back+E04+Interactive+PDF.pdf, 2024_Your_treatment_record_web_1.pdf","https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf
https://breastcancernow.org/media-assets/45bpsmyd/bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/idffxksm/bcc161-understanding-your-results-web.pdf
https://breastcancernow.org/media-assets/0onp3nzi/bcc169-after-breast-cancer-what-now-2025-web.pdf
https://breastcancernow.org/media-assets/3klxgkyp/bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/7qk3q9qd/bcc197-moving-forward-web-pdf.pdf
https://breastcancernow.org/media-assets/v9s6k1wp/bcc23-inflammatory-breast-cancer-web-2025.pdf
https://breastcancernow.org/media-assets/7c8rmkbn/bcn402-changes-to-be-aware-of-after-breast-cancer-web.pdf
https://breastcancernow.org/media-assets/8s0v0ygr/bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac12515-physical-activity-e06-interactive-pdf
https://cdn.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac14215-worrying-about-cancer-coming-back-e04-interactive-pdf
https://publications.cancerresearchuk.org/cdn/your-guide-to-clinical-trials-downloadable-version.pdf",,Citations Only,Summarize,,,,
SURGERY_PROCEDURES ,"bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf, bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf, bcc151-your-operation-and-recovery-web.pdf, bcc98-diet-and-breast-cancer-web.pdf, Understanding+breast+reconstruction.pdf","https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf
https://breastcancernow.org/media-assets/45bpsmyd/bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/fg4nihy2/bcc151-your-operation-and-recovery-web.pdf
https://breastcancernow.org/media-assets/kgbi1gok/bcc98-diet-and-breast-cancer-web.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/11653-source/mac11660-breastreconstruction-e14-pdf",,Citations Only,,,,,
DRAINS_WOUND_CARE,bcc151-your-operation-and-recovery-web.pdf,https://breastcancernow.org/media-assets/fg4nihy2/bcc151-your-operation-and-recovery-web.pdf,,Citations Only,,,,,
CANCER_TREATMENT,"bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf, bcc151-your-operation-and-recovery-web.pdf, bcc161-understanding-your-results-web.pdf, bcc17-chemotherapy-for-breast-cancer-web.pdf,bcc20-tamoxifen-web.pdf, bcc238-zoledronic-acid-web-pdf.pdf, bcc26-radiotherapy-for-primary-breast-cancer-web-pdf.pdf, bcc31-anastrozole-2022-web-pdf.pdf, bcc33-goserelin-web-pdf.pdf, bcc34-paclitaxel-web.pdf, bcc35-docetaxel-web.pdf, bcc41-trastuzumab-2023-web-pdf.pdf, bcc46-exemestane-2022-web-pdf.pdf, bcn256-easy-read-surgery-for-primary-breast-cancer-web-pdf.pdf ,  bcc64-letrozole-2022-web-pdf.pdf, bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf, bcn255-easy-read-diagnosed-with-primary-breast-cancer-web-pdf.pdf, bcn249-ec-t-chemotherapy-web.pdf, bcc98-diet-and-breast-cancer-web.pdf, MAC11616_E13_Breast+cancer_IntPDF_RP_20241009.pdf","https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf
https://breastcancernow.org/media-assets/fg4nihy2/bcc151-your-operation-and-recovery-web.pdf
https://breastcancernow.org/media-assets/idffxksm/bcc161-understanding-your-results-web.pdf
https://breastcancernow.org/media-assets/6p3k0y8x/bcc17-chemotherapy-for-breast-cancer-web.pdf
https://breastcancernow.org/media-assets/2g1qv5t4/bcc20-tamoxifen-web.pdf
https://breastcancernow.org/media-assets/j6m8d1z2/bcc238-zoledronic-acid-web-pdf.pdf
https://breastcancernow.org/media-assets/8p9f4x6m/bcc26-radiotherapy-for-primary-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/1qz7k9d3/bcc31-anastrozole-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/5v0c8n4r/bcc33-goserelin-web-pdf.pdf
https://breastcancernow.org/media-assets/t7y2k6b9/bcc34-paclitaxel-web.pdf
https://breastcancernow.org/media-assets/4h3m2s8q/bcc35-docetaxel-web.pdf
https://breastcancernow.org/media-assets/u9e6c2r1/bcc41-trastuzumab-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/w8d5m1q4/bcc46-exemestane-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/3k9e0p7x/bcn256-easy-read-surgery-for-primary-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/9m2d6k4x/bcc64-letrozole-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/7p5m0q2e/bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf
https://breastcancernow.org/media-assets/6x9p1m5e/bcn255-easy-read-diagnosed-with-primary-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/2n8e5q9m/bcn249-ec-t-chemotherapy-web.pdf
https://breastcancernow.org/media-assets/kgbi1gok/bcc98-diet-and-breast-cancer-web.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/11653-source/mac11616-e13-understanding-breast-cancer-interactive-pdf",https://youtu.be/XtPPArlLooc,Citations Only,,,,,
MEDICATION ,"bcc121-capecitabine-web.pdf, bcc17-chemotherapy-for-breast-cancer-web.pdf, bcc20-tamoxifen-web.pdf, bcc238-zoledronic-acid-web-pdf.pdf, bcc31-anastrozole-2022-web-pdf.pdf, bcc33-goserelin-web-pdf.pdf, bcc34-paclitaxel-web.pdf, bcc35-docetaxel-web.pdf, bcc41-trastuzumab-2023-web-pdf.pdf, bcc46-exemestane-2022-web-pdf.pdf, bcc64-letrozole-2022-web-pdf.pdf, bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf, bcn249-ec-t-chemotherapy-web.pdf, MAC11616_E13_Breast+cancer_IntPDF_RP_20241009.pdf","https://breastcancernow.org/media-assets/9f7k2m1x/bcc121-capecitabine-web.pdf
https://breastcancernow.org/media-assets/6p3k0y8x/bcc17-chemotherapy-for-breast-cancer-web.pdf
https://breastcancernow.org/media-assets/2g1qv5t4/bcc20-tamoxifen-web.pdf
https://breastcancernow.org/media-assets/j6m8d1z2/bcc238-zoledronic-acid-web-pdf.pdf
https://breastcancernow.org/media-assets/1qz7k9d3/bcc31-anastrozole-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/5v0c8n4r/bcc33-goserelin-web-pdf.pdf
https://breastcancernow.org/media-assets/t7y2k6b9/bcc34-paclitaxel-web.pdf
https://breastcancernow.org/media-assets/4h3m2s8q/bcc35-docetaxel-web.pdf
https://breastcancernow.org/media-assets/u9e6c2r1/bcc41-trastuzumab-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/w8d5m1q4/bcc46-exemestane-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/9m2d6k4x/bcc64-letrozole-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/7p5m0q2e/bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf
https://breastcancernow.org/media-assets/2n8e5q9m/bcn249-ec-t-chemotherapy-web.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/11653-source/mac11616-e13-understanding-breast-cancer-interactive-pdf",https://youtu.be/U4lN-Hcxfzo ,Citations Only,Interpreted Answer,,,,
SIDE_EFFECTS,"bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf, bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf, bcc151-your-operation-and-recovery-web.pdf, bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf, bcc20-tamoxifen-web.pdf, bcc238-zoledronic-acid-web-pdf.pdf, bcc26-radiotherapy-for-primary-breast-cancer-web-pdf.pdf, bcc31-anastrozole-2022-web-pdf.pdf, bcc33-goserelin-web-pdf.pdf, bcc34-paclitaxel-web.pdf, bcc35-docetaxel-web.pdf, bcc41-trastuzumab-2023-web-pdf.pdf, bcc46-exemestane-2022-web-pdf.pdf, bcc64-letrozole-2022-web-pdf.pdf, bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf, bcn249-ec-t-chemotherapy-web.pdf, bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf, MAC12515_Physical+activity_E06_IntPDF_02.pdf, MAC12161_E05_late-effects_breast_cancer_20250404.pdf, 

","https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf
https://breastcancernow.org/media-assets/45bpsmyd/bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/fg4nihy2/bcc151-your-operation-and-recovery-web.pdf
https://breastcancernow.org/media-assets/3klxgkyp/bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/2g1qv5t4/bcc20-tamoxifen-web.pdf
https://breastcancernow.org/media-assets/j6m8d1z2/bcc238-zoledronic-acid-web-pdf.pdf
https://breastcancernow.org/media-assets/8p9f4x6m/bcc26-radiotherapy-for-primary-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/1qz7k9d3/bcc31-anastrozole-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/5v0c8n4r/bcc33-goserelin-web-pdf.pdf
https://breastcancernow.org/media-assets/t7y2k6b9/bcc34-paclitaxel-web.pdf
https://breastcancernow.org/media-assets/4h3m2s8q/bcc35-docetaxel-web.pdf
https://breastcancernow.org/media-assets/u9e6c2r1/bcc41-trastuzumab-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/w8d5m1q4/bcc46-exemestane-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/9m2d6k4x/bcc64-letrozole-2022-web-pdf.pdf
https://breastcancernow.org/media-assets/7p5m0q2e/bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf
https://breastcancernow.org/media-assets/2n8e5q9m/bcn249-ec-t-chemotherapy-web.pdf
https://breastcancernow.org/media-assets/8s0v0ygr/bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac12515-physical-activity-e06-interactive-pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac12161-late-effects-breast-cancer-e05-interactive-pdf",,Citations Only,,,"Don't personalize. never say ""you may experience""",,
PRE_SURGERY_PREHAB,"bbc15-reducing-the-risk-of-lymphoedema-web-pdf. bcc151-your-operation-and-recovery-web.pdf, bcc6-exercises-after-breast-cancer-surgery-web-pdf.pdf, MAC12515_Physical+activity_E06_IntPDF_02.pdf, 
","https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf
https://breastcancernow.org/media-assets/fg4nihy2/bcc151-your-operation-and-recovery-web.pdf
https://breastcancernow.org/media-assets/0f9r8m6d/bcc6-exercises-after-breast-cancer-surgery-web-pdf.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac12515-physical-activity-e06-interactive-pdf",https://www.macmillan.org.uk/cancer-information-and-support/stories-and-media/videos/prehabilitation-videos ,Citations Only,,,,,
POST_SURGERY_RECOVERY,"bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf, bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf, bcc151-your-operation-and-recovery-web.pdf, bcc6-excercises-after-breast-cancer-surgery-web-pdf.pdf, Understanding+breast+reconstruction.pdf, MAC12515_Physical+activity_E06_IntPDF_02.pdf
","https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf
https://breastcancernow.org/media-assets/45bpsmyd/bbc5-managing-lymphoedema-after-breast-cancer-web-pdf.pdf
https://breastcancernow.org/media-assets/fg4nihy2/bcc151-your-operation-and-recovery-web.pdf
https://breastcancernow.org/media-assets/0f9r8m6d/bcc6-exercises-after-breast-cancer-surgery-web-pdf.pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/11653-source/mac11660-breastreconstruction-e14-pdf
https://www.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac12515-physical-activity-e06-interactive-pdf",,Citations Only,,,Validation - Don't personalize. ,,
FOLLOW_UP_CARE ,"bcc110-your-body-intimacy-and-sex-web-v2.pdf,  bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf, bcc197-moving-forward-web-pdf.pdf, MAC14215+Worrying+about+cancer+coming+back+E04+Interactive+PDF.pdf, bcc169-after-breast-cancer-what-now-2025-web.pdf, bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf, bcc197-moving-forward-web-pdf.pdf, bcc66-breast-cancer-in-younger-women-web.pdf, bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf
","https://breastcancernow.org/media-assets/2w1m8qk9/bcc110-your-body-intimacy-and-sex-web-v2.pdf
https://breastcancernow.org/media-assets/3klxgkyp/bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/7qk3q9qd/bcc197-moving-forward-web-pdf.pdf
https://cdn.macmillan.org.uk/dfsmedia/1a6f23537f7f4519bb0cf14c45b2a629/1531-source/mac14215-worrying-about-cancer-coming-back-e04-interactive-pdf
https://breastcancernow.org/media-assets/0onp3nzi/bcc169-after-breast-cancer-what-now-2025-web.pdf
https://breastcancernow.org/media-assets/3klxgkyp/bcc18-menopausal-symptoms-and-breast-cancer-2023-web-pdf.pdf
https://breastcancernow.org/media-assets/7qk3q9qd/bcc197-moving-forward-web-pdf.pdf
https://breastcancernow.org/media-assets/6h9p3k2m/bcc66-breast-cancer-in-younger-women-web.pdf
https://breastcancernow.org/media-assets/8s0v0ygr/bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf","https://youtu.be/luo6aqdRHro , https://youtu.be/5f0-CKGIvdE  , ",Citations Only,,,,,
LIFESTYLE,,,,,,,,,
