Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
1	What is lymphoedema and what causes it?	Lymphoedema is swelling caused by a build-up of fluid in the body’s tissues, usually affecting the arm, hand, fingers, breast, chest, shoulder, or the area on the back behind the armpit. It is often caused by damage to or removal of lymph nodes and vessels during surgery or radiotherapy, which impairs the lymphatic system’s ability to drain fluid. It can also be triggered by infections like cellulitis or injuries to the area.	SYMPTOMS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Lymphoedema is swelling caused by a build-up of fluid in the body’s tissues. It usually affects the arm, but it may also affect the hand and fingers. Lymphoedema can also affect the breast, chest, and occasionally the shoulder or the area on the back behind the armpit. Some people develop lymphoedema after surgery or radiotherapy to the lymph nodes under the arm and surrounding area.	All	2025-12-11	Healthcare AI Team		
2	What are the symptoms of lymphoedema I should watch for?	Symptoms of lymphoedema include swelling, tightness, discomfort, dry skin, arm stiffness or heaviness, hardness or firmness (fibrosis), and pins and needles. These symptoms may appear in the arm, hand, fingers, breast, chest wall, or shoulder on the side where you had treatment.	SYMPTOMS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Symptoms of lymphoedema can vary. It’s important to get advice from your breast care nurse, treatment team or GP as soon as you notice any of the following symptoms in your “at risk” side (this could be the arm, hand, fingers, breast, chest wall or shoulder of the side you had your treatment): Swelling, Tightness, Discomfort, Dry skin, Arm stiffness or heaviness, Hardness or firmness (fibrosis), Pins and needles.	All	2025-12-11	Healthcare AI Team		
3	How can I reduce my risk of developing lymphoedema?	To reduce your risk of lymphoedema, maintain a healthy body weight through diet and regular physical activity. Keep your arm and shoulder moving with exercises provided by your treatment team. Avoid heavy lifting unless you’re accustomed to it. Reduce the risk of infection by moisturizing your skin, using sunscreen, wearing gloves during household tasks, and using insect repellent.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Maintain a healthy body weight. It’s important to try to maintain a healthy weight, as this can help reduce your risk of lymphoedema. Eating healthily and doing some regular physical activity and exercise can help you maintain a healthy body weight. Using your “at risk” arm and regular exercise. Keeping your arm and shoulder moving can help reduce the risk of lymphoedema.	All	2025-12-11	Healthcare AI Team		
4	What should I do if I notice swelling in my arm or breast?	If you notice swelling in your arm, hand, fingers, breast, or chest area, contact your breast care nurse or treatment team immediately. They will assess your symptoms and may investigate further to rule out other causes for the swelling.	SYMPTOMS	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	What should I do if I notice swelling? Contact your breast care nurse or treatment team as soon as possible if you notice: Swelling in the arm, hand, fingers, breast or chest area, Pain or discomfort in the arm, hand, fingers, breast or chest area, Reddening of the skin in the arm, hand, fingers, breast or chest area.	All	2025-12-11	Healthcare AI Team		
5	Can wearing tight clothing increase my risk of lymphoedema?	While there is no consistent evidence that wearing tight clothing increases the risk of lymphoedema, it is generally recommended to wear comfortable clothing to aid lymph drainage. Avoid tight-fitting jewellery as well.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Other precautions Clothing and jewellery While there is no consistent evidence to support these, wearing comfortable clothing and avoiding tight-fitting jewellery may help lymph drainage.	All	2025-12-11	Healthcare AI Team		
6	Is it safe to have manicures if I’m at risk of lymphoedema?	There is no evidence that having manicures increases your risk of lymphoedema. However, be cautious with any activity that could cause skin damage, as infections can trigger lymphoedema.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Manicures, hot tubs and saunas There is no evidence that having manicures or using hot tubs or saunas increases your risk of lymphoedema. However, saunas can increase swelling in your body.	All	2025-12-11	Healthcare AI Team		
7	Can I use my at-risk arm for injections or blood tests?	There’s no consistent evidence that using your at-risk arm for injections, blood tests, blood pressure readings, or intravenous fluids will cause lymphoedema. However, you may prefer to use your other arm. Speak to your treatment team if you’re worried about having these procedures on your affected side.	MEDICAL_PROCEDURES	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Injections, blood tests, blood pressure readings and intravenous fluids There’s no consistent evidence that using your “at risk” arm for injections, blood tests, blood pressure readings or intravenous fluids will cause lymphoedema. However, you may prefer to use your other arm.	All	2025-12-11	Healthcare AI Team		
8	What should I do if I think I have an infection in my at-risk area?	If you suspect an infection in your at-risk area, keep the area clean and apply antiseptic cream. Contact your GP or breast care nurse immediately if you notice redness, a rash, swelling, tenderness, pain, or flu-like symptoms. You may need antibiotic treatment.	INFECTION_MANAGEMENT	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	What should I do if I notice any signs of infection? If you think a cut, graze, scratch or insect bite has become infected, keep the area clean and apply antiseptic cream. Cover the area where appropriate. Contact your GP or breast care nurse as soon as possible if: There is redness or a rash around the area, The area is hot to touch, The area is swollen, There is tenderness or pain around the area, You have flu-like symptoms.	All	2025-12-11	Healthcare AI Team		
9	Can I get a tattoo on my at-risk side?	There’s no consistent evidence that having a tattoo on your at-risk side increases the risk of lymphoedema, but it can slightly increase your risk of developing an infection. Speak to your treatment team if you’re considering getting a tattoo.	LIFESTYLE	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Tattoos There’s no consistent evidence that having a tattoo in your “at risk” side increases the risk of lymphoedema. But it can slightly increases your risk of developing an infection. Speak to your treatment team if you’re thinking about getting a tattoo.	All	2025-12-11	Healthcare AI Team		
10	How can I protect my at-risk area while traveling?	While traveling, do gentle exercises like clenching and unclenching your fists and shrugging your shoulders to reduce the risk of swelling. Use insect repellent with at least 50% DEET to protect against bites. Carry antiseptic cream for cuts and grazes. If traveling to areas with limited medical care, consider carrying a prescribed course of antibiotics in case of infection.	TRAVEL	Breast Cancer	All Stages	bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf	Travel During flights or long train and car journeys, do gentle exercises such as clenching and unclenching your fists and shrugging your shoulders. This will help reduce the risk of swelling. Protect against insect bites by using insect repellent (at least 50% DEET) and, where appropriate, a mosquito net. Carry antiseptic cream for cuts and grazes.	All	2025-12-11	Healthcare AI Team		
