leaflet_name,url,source
About Breast Cancer Now,https://breastcancernow.org/download-and-order-publications/about-breast-cancer-now-bcn-about,Breast Cancer Now
After breast cancer treatment: what now?,https://breastcancernow.org/download-and-order-publications/after-breast-cancer-treatment-what-now-bcc169,Breast Cancer Now
Anastrozole,https://breastcancernow.org/download-and-order-publications/anastrozole-bcc31,Breast Cancer Now
Breast calcifications,https://breastcancernow.org/download-and-order-publications/breast-calcifications-bcc77,Breast Cancer Now
Breast cancer and hair loss,https://breastcancernow.org/download-and-order-publications/breast-cancer-and-hair-loss-bcc54,Breast Cancer Now
Breast cancer during and after pregnancy,https://breastcancernow.org/download-and-order-publications/breast-cancer-during-and-one-year-after-pregnancy-bcc25,Breast Cancer Now
Breast cancer in men,https://breastcancernow.org/download-and-order-publications/breast-cancer-in-men-bcn260,Breast Cancer Now
Breast cancer in younger women,https://breastcancernow.org/download-and-order-publications/breast-cancer-in-younger-women-bcc66,Breast Cancer Now
Breast Cancer Now Helpline cards – pack of 50,https://breastcancernow.org/download-and-order-publications/breast-cancer-now-helpline-cards-pack-of-50-bcc371,Breast Cancer Now
Breast cysts,https://breastcancernow.org/download-and-order-publications/breast-cysts-bcc73,Breast Cancer Now
Breast pain,https://breastcancernow.org/download-and-order-publications/breast-pain-bcc71,Breast Cancer Now
"Breast prostheses, bras and clothes after surgery",https://breastcancernow.org/download-and-order-publications/breast-prostheses-bras-and-clothes-after-surgery-bcc123,Breast Cancer Now
Bcn 704 About Bcn Who We Are Leaflet 2024,https://breastcancernow.org/media-assets/0nlld0ur/bcn_704_about-bcn-who-we-are-leaflet-2024.pdf,Breast Cancer Now
Bcc169 After Breast Cancer What Now 2025 Web,https://breastcancernow.org/media-assets/0onp3nzi/bcc169-after-breast-cancer-what-now-2025-web.pdf,Breast Cancer Now
Bcc31 Anastrozole 2022 Web Pdf,https://breastcancernow.org/media-assets/nuvlv3tl/bcc31-anastrozole-2022-web-pdf.pdf,Breast Cancer Now
Bcc77 Breast Calcifications Web,https://breastcancernow.org/media-assets/gn5fd3pv/bcc77-breast-calcifications-web.pdf,Breast Cancer Now
Bcc54 Breast Cancer And Hairloss 2023 Web Pdf,https://breastcancernow.org/media-assets/eynbyaog/bcc54-breast-cancer-and-hairloss-2023-web-pdf.pdf,Breast Cancer Now
Bcc25 Breast Cancer During And After Pregnancy Web,https://breastcancernow.org/media-assets/roelmwld/bcc25-breast-cancer-during-and-after-pregnancy-web.pdf,Breast Cancer Now
Bcn260 Breast Cancer In Men Web,https://breastcancernow.org/media-assets/bbjli4v3/bcn260-breast-cancer-in-men-web.pdf,Breast Cancer Now
Bcc66 Breast Cancer In Younger Women Web,https://breastcancernow.org/media-assets/o22jw1el/bcc66-breast-cancer-in-younger-women-web.pdf,Breast Cancer Now
Bcc73 Breast Cysts Web Pdf,https://breastcancernow.org/media-assets/3jijtnek/bcc73-breast-cysts-web-pdf.pdf,Breast Cancer Now
Bcc71 Breast Pain Web 2025 New Address,https://breastcancernow.org/media-assets/frdl4pgh/bcc71-breast-pain-web-2025-new-address.pdf,Breast Cancer Now
Bcc123 Breast Prostheses Bras And Clothes Web Pdf,https://breastcancernow.org/media-assets/ul1fbeev/bcc123-breast-prostheses-bras-and-clothes-web-pdf.pdf,Breast Cancer Now
Breast reconstruction,https://breastcancernow.org/download-and-order-publications/breast-reconstruction-bcc7,Breast Cancer Now
Capecitabine (Xeloda),https://breastcancernow.org/download-and-order-publications/capecitabine-xeloda-bcc121,Breast Cancer Now
Caring for someone with secondary breast cancer,https://breastcancernow.org/download-and-order-publications/caring-for-someone-with-secondary-breast-cancer,Breast Cancer Now
Changes to be aware of after breast cancer,https://breastcancernow.org/download-and-order-publications/changes-to-be-aware-of-after-breast-cancer-bcn402,Breast Cancer Now
Chemotherapy for breast cancer,https://breastcancernow.org/download-and-order-publications/chemotherapy-for-breast-cancer-bcc17,Breast Cancer Now
Diagnosed with breast cancer: what now?,https://breastcancernow.org/download-and-order-publications/diagnosed-with-breast-cancer-what-now-bcc44,Breast Cancer Now
Diet and breast cancer,https://breastcancernow.org/download-and-order-publications/diet-and-breast-cancer-bcc98,Breast Cancer Now
Docetaxel (Taxotere),https://breastcancernow.org/download-and-order-publications/docetaxel-taxotere-bcc35,Breast Cancer Now
Duct ectasia,https://breastcancernow.org/download-and-order-publications/duct-ectasia-bcc82,Breast Cancer Now
Ductal carcinoma in situ (DCIS),https://breastcancernow.org/download-and-order-publications/ductal-carcinoma-in-situ-dcis-bcc39,Breast Cancer Now
Easy read - Diagnosed with primary breast cancer,https://breastcancernow.org/download-and-order-publications/easy-read-diagnosed-with-primary-breast-cancer-bcn255,Breast Cancer Now
Easy read - Surgery for primary breast cancer,https://breastcancernow.org/download-and-order-publications/easy-read-surgery-for-primary-breast-cancer-bcn256,Breast Cancer Now
Bcc7 Breast Reconstruction Booklet 2024 Web,https://breastcancernow.org/media-assets/sukbr2u0/bcc7-breast-reconstruction-booklet-2024-web.pdf,Breast Cancer Now
Bcc121 Capecitabine Web,https://breastcancernow.org/media-assets/3l2fo4lw/bcc121-capecitabine-web.pdf,Breast Cancer Now
Caring For Someone With Sbc Web Pdf,https://breastcancernow.org/media-assets/l4onbt1h/caring-for-someone-with-sbc-web-pdf.pdf,Breast Cancer Now
Bcn402 Changes To Be Aware Of After Breast Cancer,https://breastcancernow.org/media-assets/3xvpi401/bcn402_changes_to_be_aware_of_after_breast_cancer.pdf,Breast Cancer Now
Bcc17 Chemotherapy For Breast Cancer Web,https://breastcancernow.org/media-assets/fbjhgc43/bcc17-chemotherapy-for-breast-cancer-web.pdf,Breast Cancer Now
Bcc44 Diagnosed With Breast Cancer What Now Web,https://breastcancernow.org/media-assets/eifpjze2/bcc44-diagnosed-with-breast-cancer-what-now-web.pdf,Breast Cancer Now
Bcc98 Diet And Breast Cancer Web,https://breastcancernow.org/media-assets/kgbi1gok/bcc98-diet-and-breast-cancer-web.pdf,Breast Cancer Now
Bcc35 Docetaxel Web,https://breastcancernow.org/media-assets/i3aeu33j/bcc35-docetaxel-web.pdf,Breast Cancer Now
Bcc82 Duct Ectasia 2023 Web Pdf,https://breastcancernow.org/media-assets/qdsb342a/bcc82-duct-ectasia-2023-web-pdf.pdf,Breast Cancer Now
Bcc39 Dcis Web,https://breastcancernow.org/media-assets/3ezllptp/bcc39-dcis-web.pdf,Breast Cancer Now
Bcn255 Easy Read Diagnosed With Primary Breast Cancer Web Pdf,https://breastcancernow.org/media-assets/oarfeaug/bcn255-easy-read-diagnosed-with-primary-breast-cancer-web-pdf.pdf,Breast Cancer Now
Bcn256 Easy Read Surgery For Primary Breast Cancer Web Pdf,https://breastcancernow.org/media-assets/eygovflu/bcn256-easy-read-surgery-for-primary-breast-cancer-web-pdf.pdf,Breast Cancer Now
EC-T Chemotherapy,https://breastcancernow.org/download-and-order-publications/ec-t-chemotherapy-bcn249,Breast Cancer Now
Exemestane,https://breastcancernow.org/download-and-order-publications/exemestane-bcc46,Breast Cancer Now
Exercises after breast cancer surgery,https://breastcancernow.org/download-and-order-publications/exercises-after-breast-cancer-surgery-bcc6,Breast Cancer Now
Family history of breast cancer: managing your risk,https://breastcancernow.org/download-and-order-publications/family-history-of-breast-cancer-managing-your-risk-bcn244,Breast Cancer Now
Fat necrosis,https://breastcancernow.org/download-and-order-publications/fat-necrosis-bcc76,Breast Cancer Now
"Fertility, pregnancy and breast cancer",https://breastcancernow.org/download-and-order-publications/fertility-pregnancy-and-breast-cancer-bcc28,Breast Cancer Now
Fibroadenoma,https://breastcancernow.org/download-and-order-publications/fibroadenoma-bcc72,Breast Cancer Now
Goserelin (Zoladex),https://breastcancernow.org/download-and-order-publications/goserelin-zoladex-bcc33,Breast Cancer Now
Gynaecomastia,https://breastcancernow.org/download-and-order-publications/gynaecomastia-bcc155,Breast Cancer Now
Hyperplasia and atypical hyperplasia,https://breastcancernow.org/download-and-order-publications/hyperplasia-and-atypical-hyperplasia-bcc78,Breast Cancer Now
Inflammatory breast cancer,https://breastcancernow.org/download-and-order-publications/inflammatory-breast-cancer-bcc23,Breast Cancer Now
Intraductal papilloma,https://breastcancernow.org/download-and-order-publications/intraductal-papilloma-bcc79,Breast Cancer Now
Bcn249 Ec T Chemotherapy Web,https://breastcancernow.org/media-assets/gm4lhdpb/bcn249-ec-t-chemotherapy-web.pdf,Breast Cancer Now
Bcc46 Exemestane 2022 Web Pdf,https://breastcancernow.org/media-assets/rqabaq5y/bcc46-exemestane-2022-web-pdf.pdf,Breast Cancer Now
Bcc6 Excercises After Breast Cancer Surgery Web Pdf,https://breastcancernow.org/media-assets/dmbpk1rz/bcc6-excercises-after-breast-cancer-surgery-web-pdf.pdf,Breast Cancer Now
Bcn244 Family History Web,https://breastcancernow.org/media-assets/kukptpyg/bcn244-family-history-web.pdf,Breast Cancer Now
Bcc76 Fat Necrosis Web,https://breastcancernow.org/media-assets/4udaixqz/bcc76-fat-necrosis-web.pdf,Breast Cancer Now
Bcc28 Fertility Pregnancy And Breast Cancer Web,https://breastcancernow.org/media-assets/pyck233u/bcc28-fertility-pregnancy-and-breast-cancer-web.pdf,Breast Cancer Now
Bcc72 Fibroadenoma Web 2025,https://breastcancernow.org/media-assets/b1bn5qop/bcc72-fibroadenoma-web-2025.pdf,Breast Cancer Now
Bcc33 Goserelin Web Pdf,https://breastcancernow.org/media-assets/rvvjnvys/bcc33-goserelin-web-pdf.pdf,Breast Cancer Now
